number,value,datetime_start,datetime_complete,duration,params_episode_length,params_epsilon_max,params_epsilon_min,params_gamma,params_learning_rate,params_num_episodes,user_attrs_base_seed,user_attrs_collective_reward_mean,user_attrs_collective_reward_std,user_attrs_individual_reward_agent0_mean,user_attrs_individual_reward_agent0_std,user_attrs_num_episodes_mean,user_attrs_num_parallel_runs,user_attrs_run_0_collective_reward,user_attrs_run_0_individual_rewards,user_attrs_run_0_seed,user_attrs_run_0_total_individual_rewards,user_attrs_run_0_training_time_per_episode,user_attrs_run_0_training_time_total,user_attrs_run_1_collective_reward,user_attrs_run_1_individual_rewards,user_attrs_run_1_seed,user_attrs_run_1_total_individual_rewards,user_attrs_run_1_training_time_per_episode,user_attrs_run_1_training_time_total,user_attrs_run_2_collective_reward,user_attrs_run_2_individual_rewards,user_attrs_run_2_seed,user_attrs_run_2_total_individual_rewards,user_attrs_run_2_training_time_per_episode,user_attrs_run_2_training_time_total,user_attrs_run_3_collective_reward,user_attrs_run_3_individual_rewards,user_attrs_run_3_seed,user_attrs_run_3_total_individual_rewards,user_attrs_run_3_training_time_per_episode,user_attrs_run_3_training_time_total,user_attrs_run_4_collective_reward,user_attrs_run_4_individual_rewards,user_attrs_run_4_seed,user_attrs_run_4_total_individual_rewards,user_attrs_run_4_training_time_per_episode,user_attrs_run_4_training_time_total,user_attrs_run_5_collective_reward,user_attrs_run_5_individual_rewards,user_attrs_run_5_seed,user_attrs_run_5_total_individual_rewards,user_attrs_run_5_training_time_per_episode,user_attrs_run_5_training_time_total,user_attrs_total_individual_reward_agent0_mean,user_attrs_total_individual_reward_agent0_std,user_attrs_training_time_per_episode_mean,user_attrs_training_time_per_episode_std,user_attrs_training_time_total_mean,user_attrs_training_time_total_std,state
336,16.57,2025-06-13 16:49:45.518904,2025-06-13 16:49:48.918962,0 days 00:00:03.400058,33,0.9116923147865459,0.07664493903869854,0.9726186592041016,0.08741450827809494,443,3366185.0,16.57,2.0196946964000935,0.8936666666666665,0.13960380446901238,440.0,6.0,13.25,"[0.5989999999999999, 0.726]",3366185.0,"[5.989999999999998, 7.26]",0.0051058525388891045,2.246575117111206,14.4,"[0.852, 0.5879999999999999]",3367185.0,"[8.52, 5.879999999999999]",0.005561734871430831,2.4471633434295654,18.13,"[0.97, 0.843]",3368185.0,"[9.7, 8.43]",0.005310975963419134,2.336829423904419,18.310000000000002,"[0.9790000000000001, 0.852]",3369185.0,"[9.790000000000001, 8.52]",0.00485503077507019,2.136213541030884,17.0,"[0.9790000000000001, 0.721]",3370185.0,"[9.790000000000001, 7.21]",0.005137178572741422,2.2603585720062256,18.33,"[0.983, 0.85]",3371185.0,"[9.83, 8.5]",0.005052074519070712,2.2229127883911133,8.936666666666666,1.3960380446901237,0.0051704745401035665,0.00022046664720790774,2.275008797645569,0.09700532477147931,COMPLETE
337,16.286666666666665,2025-06-13 16:49:49.019846,2025-06-13 16:49:52.553804,0 days 00:00:03.533958,35,0.7966157891210899,0.13043891753519077,0.9676187578327923,0.07425972899546476,478,3376189.0,16.286666666666665,3.142163090752752,0.8463333333333334,0.1876811717307366,470.0,6.0,14.320000000000002,"[0.8460000000000001, 0.586]",3376189.0,"[8.46, 5.859999999999999]",0.004739558950383613,2.227592706680298,19.68,"[0.984, 0.984]",3377189.0,"[9.84, 9.84]",0.004099166139643243,1.9266080856323242,18.18,"[0.9730000000000001, 0.845]",3378189.0,"[9.73, 8.45]",0.005110294260877244,2.4018383026123047,18.33,"[0.9850000000000001, 0.8480000000000001]",3379189.0,"[9.850000000000001, 8.48]",0.004536552632108648,2.1321797370910645,16.9,"[0.8400000000000001, 0.8500000000000002]",3380189.0,"[8.4, 8.500000000000002]",0.004588621727963711,2.1566522121429443,10.309999999999999,"[0.4499999999999999, 0.5809999999999998]",3381189.0,"[4.499999999999999, 5.809999999999999]",0.005408548801503283,2.542017936706543,8.463333333333333,1.876811717307366,0.004747123752079957,0.00042006850560732755,2.2311481634775796,0.1974321976354439,COMPLETE
338,15.976666666666667,2025-06-13 16:49:52.650984,2025-06-13 16:49:56.234744,0 days 00:00:03.583760,38,0.7801509118562192,0.020653840933188804,0.9333841254644217,0.06185957432086094,470,3386192.0,15.976666666666667,1.4455064471972745,0.7769999999999998,0.16849035580709065,470.0,6.0,15.53,"[0.9810000000000001, 0.572]",3386192.0,"[9.81, 5.72]",0.005811472649269915,2.7313921451568604,16.84,"[0.842, 0.842]",3387192.0,"[8.42, 8.42]",0.004889944259156572,2.298273801803589,16.880000000000003,"[0.711, 0.977]",3388192.0,"[7.109999999999999, 9.77]",0.004718899726867676,2.2178828716278076,16.799999999999997,"[0.8419999999999999, 0.8379999999999999]",3389192.0,"[8.419999999999998, 8.379999999999999]",0.005114535067943816,2.4038314819335938,16.88,"[0.843, 0.845]",3390192.0,"[8.43, 8.45]",0.004661414978351999,2.1908650398254395,12.930000000000001,"[0.44299999999999995, 0.85]",3391192.0,"[4.43, 8.5]",0.0052059138074834295,2.446779489517212,7.77,1.6849035580709064,0.0050670300815122355,0.00038574989608578674,2.3815041383107505,0.18130245116031984,COMPLETE
339,17.939999999999998,2025-06-13 16:49:56.345324,2025-06-13 16:49:59.708348,0 days 00:00:03.363024,46,0.8211343940079188,0.19236120068106682,0.9363296012044435,0.04568814671846485,430,3396196.0,17.939999999999998,1.2674120613807218,0.8401666666666666,0.08263860410781929,430.0,6.0,18.269999999999996,"[0.8470000000000001, 0.9800000000000001]",3396196.0,"[8.47, 9.8]",0.00487118543580521,2.0946097373962402,18.189999999999998,"[0.842, 0.977]",3397196.0,"[8.42, 9.77]",0.004687395206717558,2.01557993888855,15.320000000000002,"[0.695, 0.837]",3398196.0,"[6.949999999999999, 8.37]",0.0049132330473079236,2.1126902103424072,18.169999999999998,"[0.8399999999999999, 0.977]",3399196.0,"[8.399999999999999, 9.77]",0.005072784423828125,2.1812973022460938,18.169999999999998,"[0.8359999999999997, 0.9810000000000001]",3400196.0,"[8.359999999999998, 9.81]",0.005647640450056209,2.42848539352417,19.52,"[0.9809999999999999, 0.9710000000000001]",3401196.0,"[9.809999999999999, 9.71]",0.005386079189389251,2.316014051437378,8.401666666666666,0.8263860410781929,0.0050963862921840465,0.000326571690512679,2.1914461056391397,0.14042582692045194,COMPLETE
340,15.776666666666666,2025-06-13 16:49:59.855092,2025-06-13 16:50:03.426667,0 days 00:00:03.571575,50,0.8257563025338035,0.0961588632078601,0.9497258234387459,0.04643347085577902,426,3406200.0,15.776666666666666,2.3738693214993023,0.8130000000000001,0.13431803055931593,420.0,6.0,16.72,"[0.8309999999999998, 0.841]",3406200.0,"[8.309999999999999, 8.41]",0.0046962431498936245,1.9724221229553223,15.280000000000001,"[0.836, 0.692]",3407200.0,"[8.36, 6.92]",0.006050198986416771,2.541083574295044,16.72,"[0.836, 0.836]",3408200.0,"[8.36, 8.36]",0.005040434428623744,2.1169824600219727,10.839999999999998,"[0.541, 0.5429999999999999]",3409200.0,"[5.41, 5.43]",0.006211146854218983,2.6086816787719727,18.3,"[0.842, 0.9880000000000001]",3410200.0,"[8.42, 9.88]",0.004819012823558989,2.0239853858947754,16.799999999999997,"[0.992, 0.688]",3411200.0,"[9.92, 6.879999999999999]",0.0049359287534441266,2.073090076446533,8.13,1.3431803055931593,0.005292160832692706,0.0006039331572110121,2.2227075497309365,0.2536519260286251,COMPLETE
341,14.815,2025-06-13 16:50:06.504432,2025-06-13 16:50:10.560590,0 days 00:00:04.056158,47,0.8453624051357159,0.15612249427441888,0.9380200660422343,0.0394988041328871,439,3416206.0,14.815,2.4254466942537953,0.7668333333333334,0.23120511576423988,430.0,6.0,18.08,"[0.9810000000000001, 0.827]",3416206.0,"[9.81, 8.27]",0.005452433852262275,2.3445465564727783,16.72,"[0.982, 0.6899999999999998]",3417206.0,"[9.82, 6.899999999999999]",0.005672920027444529,2.4393556118011475,11.0,"[0.41, 0.6900000000000001]",3418206.0,"[4.1, 6.9]",0.005838066478108251,2.510368585586548,15.359999999999998,"[0.9869999999999999, 0.5489999999999998]",3419206.0,"[9.87, 5.489999999999998]",0.007005836242853209,3.01250958442688,12.389999999999999,"[0.5499999999999999, 0.6889999999999998]",3420206.0,"[5.499999999999999, 6.889999999999999]",0.00550963934077773,2.369144916534424,15.339999999999998,"[0.691, 0.843]",3421206.0,"[6.909999999999999, 8.43]",0.005991545943326728,2.576364755630493,7.668333333333333,2.3120511576423985,0.005911740314128788,0.0005225778126797911,2.5420483350753784,0.2247084594523101,COMPLETE
342,16.88,2025-06-13 16:50:10.703488,2025-06-13 16:50:14.270002,0 days 00:00:03.566514,42,0.8244166297966933,0.03699155281232547,0.9350634112031924,0.05392665605495162,449,3426210.0,16.88,0.7332803011127462,0.9135,0.10259426559673462,440.0,6.0,15.63,"[0.7110000000000001, 0.852]",3426210.0,"[7.110000000000001, 8.52]",0.005398332530801946,2.3752663135528564,16.86,"[0.9799999999999999, 0.706]",3427210.0,"[9.799999999999999, 7.06]",0.0050208200107921255,2.209160804748535,16.75,"[0.9719999999999999, 0.703]",3428210.0,"[9.719999999999999, 7.029999999999999]",0.005823502757332542,2.5623412132263184,16.919999999999998,"[0.849, 0.843]",3429210.0,"[8.49, 8.43]",0.004438019340688532,1.952728509902954,16.96,"[0.99, 0.7060000000000001]",3430210.0,"[9.9, 7.0600000000000005]",0.00515492937781594,2.2681689262390137,18.16,"[0.9790000000000001, 0.837]",3431210.0,"[9.790000000000001, 8.37]",0.005810947851701216,2.556817054748535,9.135,1.0259426559673461,0.0052744253115220505,0.00048008078337302175,2.320747137069702,0.21123554468412953,COMPLETE
343,17.53166666666667,2025-06-13 16:50:14.378128,2025-06-13 16:50:17.807368,0 days 00:00:03.429240,45,0.8157305350588744,0.19260944027168547,0.9404472037212526,0.04356988798440357,437,3436214.0,17.53166666666667,1.3733586162721256,0.8888333333333333,0.1077240559124202,430.0,6.0,18.27,"[0.985, 0.842]",3436214.0,"[9.85, 8.42]",0.005135264507559843,2.2081637382507324,15.310000000000002,"[0.695, 0.836]",3437214.0,"[6.949999999999999, 8.36]",0.005796004450598429,2.492281913757324,16.82,"[0.8379999999999999, 0.844]",3438214.0,"[8.379999999999999, 8.44]",0.005197722967280898,2.235020875930786,18.390000000000004,"[0.8459999999999999, 0.9930000000000001]",3439214.0,"[8.459999999999999, 9.930000000000001]",0.004850877717483875,2.0858774185180664,19.56,"[0.9780000000000001, 0.9780000000000001]",3440214.0,"[9.780000000000001, 9.780000000000001]",0.004562475514966388,1.9618644714355469,16.84,"[0.991, 0.693]",3441214.0,"[9.91, 6.93]",0.005541492062945698,2.3828415870666504,8.888333333333334,1.077240559124202,0.005180639536805856,0.000408678536057296,2.2276750008265176,0.17573177050463723,COMPLETE
344,16.511666666666667,2025-06-13 16:50:17.933132,2025-06-13 16:50:21.682810,0 days 00:00:03.749678,46,0.8145614820901588,0.1891413757301566,0.9444710391918641,0.029827794088698935,431,3446218.0,16.511666666666667,1.5155792805246295,0.886,0.0675771164423777,430.0,6.0,16.810000000000002,"[0.9810000000000001, 0.7]",3446218.0,"[9.81, 7.0]",0.006028038401936376,2.5920565128326416,13.919999999999998,"[0.8399999999999999, 0.5519999999999999]",3447218.0,"[8.399999999999999, 5.52]",0.006270922616470692,2.6964967250823975,16.75,"[0.841, 0.834]",3448218.0,"[8.41, 8.34]",0.00673524723496548,2.8961563110351562,15.280000000000001,"[0.833, 0.6950000000000001]",3449218.0,"[8.33, 6.950000000000001]",0.005855206556098406,2.5177388191223145,18.179999999999996,"[0.8389999999999999, 0.9789999999999999]",3450218.0,"[8.389999999999999, 9.79]",0.005324167429014694,2.2893919944763184,18.13,"[0.982, 0.8309999999999998]",3451218.0,"[9.82, 8.309999999999999]",0.004832109739614087,2.0778071880340576,8.860000000000001,0.6757711644237768,0.005840948663016623,0.0006197677268610964,2.5116079250971475,0.2665001225502714,COMPLETE
345,16.053333333333335,2025-06-13 16:50:21.765995,2025-06-13 16:50:25.832061,0 days 00:00:04.066066,45,0.8066168308027214,0.19514230502257696,0.9410322964419136,0.03542206180472896,439,3456221.0,16.053333333333335,1.5308131463013006,0.9345,0.06707644892210675,430.0,6.0,18.14,"[0.986, 0.8279999999999997]",3456221.0,"[9.86, 8.279999999999998]",0.00588569862898006,2.530850410461426,15.490000000000002,"[0.99, 0.5589999999999999]",3457221.0,"[9.9, 5.59]",0.006128120976825093,2.63509202003479,18.04,"[0.9709999999999999, 0.833]",3458221.0,"[9.709999999999999, 8.33]",0.006160757707995038,2.649125814437866,13.940000000000001,"[0.9800000000000001, 0.41399999999999987]",3459221.0,"[9.8, 4.139999999999999]",0.007351764412813409,3.1612586975097656,15.370000000000001,"[0.8400000000000001, 0.697]",3460221.0,"[8.4, 6.97]",0.006498566893644111,2.7943837642669678,15.34,"[0.8400000000000001, 0.6939999999999998]",3461221.0,"[8.4, 6.939999999999999]",0.005651580455691315,2.4301795959472656,9.344999999999999,0.6707644892210676,0.006279414845991504,0.0005453009942346406,2.7001483837763467,0.2344794275208954,COMPLETE
346,16.371666666666666,2025-06-13 16:50:29.097090,2025-06-13 16:50:32.617132,0 days 00:00:03.520042,44,0.7894201262449991,0.18502567516857293,0.9397332182156618,0.04994247785929393,431,3466229.0,16.371666666666666,2.36114673175745,0.8433333333333334,0.13973506678314107,430.0,6.0,16.82,"[0.842, 0.8400000000000001]",3466229.0,"[8.42, 8.4]",0.005131915003754372,2.20672345161438,14.08,"[0.5619999999999999, 0.8460000000000001]",3467229.0,"[5.619999999999999, 8.46]",0.006311879601589469,2.7141082286834717,19.7,"[0.9819999999999999, 0.9880000000000001]",3468229.0,"[9.819999999999999, 9.88]",0.005107910688533339,2.196401596069336,12.69,"[0.853, 0.4159999999999999]",3469229.0,"[8.53, 4.159999999999999]",0.006230776808982672,2.679234027862549,16.779999999999998,"[0.841, 0.8370000000000001]",3470229.0,"[8.41, 8.370000000000001]",0.006161753521409146,2.6495540142059326,18.159999999999997,"[0.9800000000000001, 0.836]",3471229.0,"[9.8, 8.36]",0.005107371197190395,2.19616961479187,8.433333333333332,1.3973506678314105,0.005675267803576565,0.0005612732707456773,2.4403651555379233,0.2413475064206412,COMPLETE
