trial_number,individual_reward,collective_reward,duration_seconds,state,learning_rate,gamma,n_units,epsilon_min,episode_length
30,0.13999999999999652,7,110.342528,COMPLETE,0.010685098053564041,0.9673579220952926,256,0.6294998167530771,50
31,14.4,17,73.114114,COMPLETE,9.240427161349054e-06,0.8700587308614577,256,0.5030863256420369,43
32,7.869999999999999,12,65.248901,COMPLETE,2.1321252896332024e-05,0.8819471426792619,256,0.3756335966652443,42
33,13.819999999999999,17,86.967293,COMPLETE,6.418992434772396e-06,0.8342369853947748,256,0.5272135550715937,48
34,-0.5600000000000032,6,80.154105,COMPLETE,3.271957757343526e-06,0.8940920369558605,256,0.7722396649754002,44
35,9.209999999999997,13,58.544574,COMPLETE,2.107700601711785e-05,0.8153957711501009,128,0.21201097466777635,38
36,15.32,18,105.346074,COMPLETE,0.00011972853423591588,0.861569274505696,256,0.3962431519638566,60
37,13.2,17,121.954992,COMPLETE,0.00011083020080924238,0.8553649463431241,256,0.6624123408789311,63
38,0.8400000000000002,3,7.765854,COMPLETE,0.0017188442368555974,0.9157220689274863,128,0.27733644308151073,13
39,15.229999999999999,18,95.424863,COMPLETE,3.47391055804922e-05,0.8632403926463251,256,0.1492032406447623,60
40,12.740000000000002,17,125.744779,COMPLETE,6.81131733143149e-05,0.8472940524812133,256,0.4037376119720996,70
41,11.209999999999999,16,96.256763,COMPLETE,4.012152350953416e-05,0.8249784276259096,256,0.07585700080649899,61
42,17.57,19,84.646793,COMPLETE,0.00013985096719770792,0.865760449443012,256,0.15725295188389093,56
43,14.019999999999998,17,82.598767,COMPLETE,0.00013408257336660292,0.8812909670790492,256,0.0015519818674979424,55
44,-0.5700000000000036,7,100.115756,COMPLETE,0.09004977089332396,0.8671309385594923,128,0.5831443635076816,50
45,15.789999999999997,19,95.340233,COMPLETE,0.0003322694668880752,0.8431078559790396,256,0.17407033915468295,57
46,15.840000000000002,18,71.622824,COMPLETE,0.00044822099021746736,0.8398131396871926,64,0.16634333297437762,46
47,14.519999999999998,17,67.982315,COMPLETE,0.0007036450232983256,0.8270160206233825,64,0.27490295507958873,46
48,9.45,13,38.032406,COMPLETE,0.00021553665784949678,0.9133056980899267,64,0.10201881886098457,32
49,14.779999999999998,17,48.120363,COMPLETE,0.0005317540328845062,0.800788049842359,64,0.21790681406138873,37
50,10.419999999999998,15,82.222909,COMPLETE,0.0013430733816957032,0.8995966528152513,64,0.057373971261048984,46
51,17.209999999999997,19,81.253215,COMPLETE,0.0003315085126416201,0.8490180875915891,64,0.16911119172404732,55
52,16.179999999999996,18,75.765568,COMPLETE,0.0003143883585405546,0.8497379215859545,64,0.15752814791434464,51
53,12.95,16,91.649778,COMPLETE,6.380451607432867e-05,0.8511114133120138,64,0.12257895103963301,52
54,-4.300000000000004,5,124.636486,COMPLETE,0.0026851650552479327,0.9278177715655008,64,0.28719283805690105,56
55,14.479999999999999,17,51.263544,COMPLETE,0.0002843647340128274,0.8778622612901326,64,0.04223345069565437,39
56,7.979999999999999,12,49.56088,COMPLETE,0.001020139742208707,0.887734416333686,64,0.6628204987573814,36
57,10.8,14,35.463477,COMPLETE,0.00016622143623855231,0.9457858698504062,128,0.1899804592283939,31
58,10.379999999999997,15,118.247172,COMPLETE,6.713822392179996e-05,0.8279657029655888,64,0.13224815745612667,64
59,2.939999999999998,8,66.708081,COMPLETE,2.3291370546396577e-05,0.9867218846902486,64,0.3106740027782884,40
60,6.029999999999998,12,105.230413,COMPLETE,0.0007753446225516642,0.8979450216917028,256,0.5515418643028247,54
61,14.779999999999998,18,74.929298,COMPLETE,0.0003933639764823905,0.8465232953045488,64,0.2404625348399067,49
62,10.889999999999999,15,85.983115,COMPLETE,8.696023033263967e-05,0.836456107099223,64,0.19173782754788646,51
63,13.2,16,67.114483,COMPLETE,0.0003187374712508686,0.8567728131644178,64,0.16237760343876084,46
64,8.66,12,46.482184,COMPLETE,0.000517357280097347,0.8177352930625928,64,0.445841826621383,35
65,14.99,17,76.700661,COMPLETE,0.00017717845491045455,0.8393920062767495,64,0.7659276293168054,45
66,12.680000000000001,16,87.27689,COMPLETE,8.827234996945423e-05,0.8501011824920716,256,0.8938153052031341,48
67,16.689999999999998,19,54.483924,COMPLETE,4.419464770464383e-05,0.9620482120235793,256,0.11101308739219258,41
68,13.86,17,62.480747,COMPLETE,1.1171735925082404e-05,0.9369292902528119,256,0.10931983721595147,41
69,4.559999999999999,9,45.788038,COMPLETE,4.872743809323306e-05,0.9601829278647495,256,0.054560297507057536,34
70,10.07,13,37.575195,COMPLETE,2.693858780445276e-05,0.9772563756130374,256,0.9439611872690432,29
71,9.139999999999997,13,67.213028,COMPLETE,1.711554298009485e-05,0.9104628733405402,256,0.25314212405549447,43
72,16.009999999999998,18,101.365474,COMPLETE,0.00021561142492626317,0.9586514759781625,256,0.1445333407488106,58
73,12.559999999999999,16,98.239123,COMPLETE,0.0002315326531855147,0.9636319698340454,256,0.021827015791748033,59
74,14.009999999999998,17,99.501152,COMPLETE,0.0001404189930323436,0.9517877985017814,256,0.46570166832237564,57
75,12.37,16,88.215904,COMPLETE,3.290814836766201e-05,0.9750803659268467,256,0.07602778304988483,54
76,15.319999999999999,18,102.250238,COMPLETE,0.00010231648644811684,0.929370301438921,256,0.12864599655524567,62
77,15.899999999999999,19,117.128696,COMPLETE,0.0002535308989411219,0.9429267069422052,256,0.21731768222786596,67
78,14.11,17,111.098401,COMPLETE,5.900022952139565e-05,0.9213394658075039,256,0.35434844343860006,64
79,6.189999999999999,9,27.193761,COMPLETE,0.0010524783161404675,0.9959638592350436,256,0.14534926366797346,24
80,12.999999999999998,16,62.494883,COMPLETE,4.529725782651062e-05,0.9609461682329071,128,0.5130840256053004,39
81,10.919999999999998,15,114.891469,COMPLETE,0.0002391407675422748,0.9428570292542302,256,0.22529603555440972,65
82,12.12,16,123.504028,COMPLETE,0.0003372519063552181,0.9558826745820036,256,0.19078102200699049,69
83,16.990000000000002,19,118.867611,COMPLETE,0.00014950297092933,0.9462686671904701,256,0.3144696630522201,66
84,17.39,19,89.71544,COMPLETE,0.00014173414393910545,0.9671208098805845,256,0.30059078069012984,56
85,15.609999999999998,18,80.816231,COMPLETE,0.00014224967037874725,0.969655647867825,256,0.08666456537342673,52
86,13.419999999999998,17,96.835052,COMPLETE,8.346043595472289e-05,0.9802028236486309,256,0.3059255098429873,57
87,13.350000000000001,17,98.216192,COMPLETE,0.00016870826151892796,0.9468282237765695,256,0.3794087241287161,59
88,15.149999999999997,18,88.877422,COMPLETE,4.820869851984714e-05,0.965625411318348,256,0.24910782119127753,55
89,12.069999999999999,16,102.909118,COMPLETE,8.635055947965303e-06,0.9578990309213044,256,0.10402357340716775,58
90,17.07,19,104.07722,COMPLETE,0.00011221844269193273,0.9516988472329491,256,0.18862352033186763,60
91,13.899999999999999,18,111.462646,COMPLETE,0.00014349989717181511,0.9503484499545053,256,0.17774691813834026,62
92,16.99,19,98.786107,COMPLETE,0.00010678297842878398,0.9346079199432848,256,0.20144268345842448,61
93,15.16,18,118.324376,COMPLETE,0.00011017203333138935,0.9369234364106926,256,0.19868010125449548,67
94,9.339999999999998,14,110.903976,COMPLETE,7.840928430125608e-05,0.951277067898453,256,0.2700357815847092,61
95,16.84,19,111.694592,COMPLETE,3.2112562497078884e-05,0.8641955627317953,128,0.3049143918842567,60
96,14.28,17,114.332706,COMPLETE,2.732625298063533e-05,0.8667443702883627,128,0.16053552568900661,60
97,18.07,20,117.220402,COMPLETE,5.583118815730042e-05,0.872543922384497,128,0.3188110101166612,63
98,13.549999999999999,17,120.243495,COMPLETE,5.7237256304065036e-05,0.8776155842666622,128,0.32246511337052175,66
99,12.759999999999998,16,115.68761,COMPLETE,3.674124832545741e-05,0.8854491943840161,128,0.2948973118763146,63
