trial_number,individual_reward,collective_reward,duration_seconds,state,learning_rate,gamma,n_units,epsilon_min,episode_length
67,0.11999999999999855,5,47.606409,COMPLETE,0.00046812482464214547,0.8246691428743952,256,0.5560940050010997,33
68,5.55,8,18.751759,COMPLETE,0.00013040215153567233,0.817138720937419,256,0.610086458076707,20
69,5.0399999999999965,11,119.602089,COMPLETE,4.081440327375104e-05,0.801683356367338,256,0.43302747315565526,65
70,-10.090000000000007,2,169.040682,COMPLETE,1.8991313652307133e-06,0.8404342078067388,256,0.39699921743420097,68
71,-6.900000000000004,3,149.673763,COMPLETE,0.0382072365934375,0.833196388022075,256,0.48482230468460247,59
72,2.2699999999999965,9,108.991649,COMPLETE,7.777518427950003e-05,0.8171774551917561,256,0.5091046939307695,61
73,8.359999999999998,13,120.306905,COMPLETE,0.00014524794517614518,0.8599800364957193,256,0.4647301832625262,64
74,5.139999999999997,11,114.567601,COMPLETE,0.0002238611494494415,0.8529555657249411,256,0.4496208645807954,64
75,3.239999999999996,10,121.727168,COMPLETE,0.00015043120506946949,0.8632088014272948,256,0.42192958574376316,66
76,0.04999999999999996,1,1.761064,COMPLETE,1.6451762700942014e-05,0.8305241777411373,256,0.34299056753831875,6
77,5.99,9,30.345155,COMPLETE,0.000497527880588072,0.8419427074164193,256,0.2996946942124685,27
78,3.689999999999997,10,112.705457,COMPLETE,2.7399579426607802e-05,0.8094237351921859,256,0.5510398307593714,62
79,-3.3306690738754696e-15,7,103.272082,COMPLETE,5.093482955036769e-05,0.8804615961291465,256,0.8533639403229787,54
80,-2.080000000000004,6,96.904463,COMPLETE,0.00011714879654156944,0.8596447394170126,256,0.520239094383324,58
81,5.369999999999997,11,73.413098,COMPLETE,7.67208082222515e-05,0.8481209441226021,256,0.46747673305218973,60
82,4.659999999999998,9,39.090952,COMPLETE,6.218014543152336e-05,0.85535012163571,256,0.3885011996311161,39
83,4.7899999999999965,11,92.385794,COMPLETE,3.537326608356266e-05,0.8920773146646654,128,0.48379447574879136,67
84,-1.2900000000000047,7,90.207783,COMPLETE,9.115942134413395e-06,0.875889498106699,256,0.5765940151374391,64
85,3.6399999999999966,10,70.490825,COMPLETE,2.1036144213858777e-05,0.8064807196401208,256,0.34060109237713204,62
86,2.119999999999997,8,52.481154,COMPLETE,8.37509277699343e-05,0.8604480093120663,256,0.42219923642620305,49
87,-1.980000000000005,7,101.305673,COMPLETE,0.000382126158347726,0.8335393798874035,256,0.6047242533810074,69
88,2.3800000000000003,4,4.251087,COMPLETE,0.00015450683698398462,0.8855142525669089,64,0.44945707665285584,11
89,2.7599999999999967,9,64.378078,COMPLETE,1.3654471939840853e-05,0.9035648442783752,256,0.38054579711122055,56
90,2.389999999999997,9,70.451824,COMPLETE,0.00010396035583867934,0.8200633206985771,128,0.5188517234075198,59
91,8.349999999999998,13,76.282998,COMPLETE,1.980638207090643e-05,0.8690791705888481,256,0.3586430292595365,63
92,4.989999999999997,11,74.99886,COMPLETE,4.501271068861808e-05,0.8705877201472024,256,0.28029295112316327,65
93,5.229999999999997,11,71.164577,COMPLETE,2.7095945005269655e-05,0.8517419254066938,256,0.4034157555791763,63
94,-7.220000000000005,3,80.956874,COMPLETE,5.8339582758411155e-06,0.8447498141867077,256,0.3561682523345433,61
95,-1.600000000000005,7,75.458932,COMPLETE,2.1171671471704337e-05,0.8652997706324813,256,0.4645836063341873,66
96,11.339999999999998,15,93.242944,COMPLETE,1.0506107416675299e-05,0.8004491715767929,256,0.3267244441576272,68
97,1.459999999999996,9,82.517592,COMPLETE,1.658640791254285e-05,0.8144573886246559,256,0.3277121953468283,68
98,-0.32000000000000517,8,90.423943,COMPLETE,9.565976888815459e-06,0.8011408722713218,256,0.30620955869586036,69
99,-1.400000000000005,7,88.315042,COMPLETE,7.446847259138866e-06,0.8274510413665856,256,0.41046065857147224,65
