trial_number,individual_reward,collective_reward,duration_seconds,state,learning_rate,gamma,n_units,epsilon_min,episode_length
45,5.509999999999998,11,68.674103,COMPLETE,1.4268620303152415e-05,0.9061691546285104,256,0.46415792802582384,42
46,5.079999999999999,10,49.480427,COMPLETE,0.051217864831824625,0.8954070873530862,64,0.04717790776761577,35
47,4.809999999999997,11,81.05111,COMPLETE,2.7209164215175446e-06,0.8387790542951511,256,0.2982033011740585,47
48,2.2899999999999983,7,38.381171,COMPLETE,0.00813265303185019,0.8150989849198885,256,0.5044519548419634,30
49,5.409999999999998,11,63.049576,COMPLETE,1.207788419375271e-05,0.8495184133232092,256,0.6697071718099996,40
50,6.839999999999998,13,106.761409,COMPLETE,0.00026978158088419553,0.8792085088099851,64,0.3755944447920544,55
51,7.149999999999998,13,90.172343,COMPLETE,5.560682632133896e-06,0.8253126191342578,256,0.5684518764992132,51
52,5.439999999999998,11,70.567538,COMPLETE,7.63308572404276e-06,0.8036696267858033,256,0.719738010116355,44
53,6.279999999999998,12,93.171088,COMPLETE,4.508878418432382e-06,0.8290257469485585,256,0.6364795871991539,50
54,7.549999999999997,14,126.241872,COMPLETE,1.2154955892102863e-06,0.8614356547456037,256,0.2008135528617524,61
55,6.169999999999998,12,79.207597,COMPLETE,1.9996843642824568e-05,0.8354688398092988,256,0.5091118032852123,46
56,10.439999999999998,16,112.577158,COMPLETE,3.3290663411578955e-05,0.8211427855823088,256,0.6468643407828366,56
57,5.089999999999996,12,116.101575,COMPLETE,9.973568493637283e-05,0.8005852940897124,256,0.5878394893631161,56
58,5.3299999999999965,13,160.455016,COMPLETE,3.918924827344536e-05,0.8200606910736792,256,0.7332664432688022,70
59,3.9699999999999975,10,72.825952,COMPLETE,0.0005266587248719406,0.8111255002435179,128,0.6580979948377336,43
60,2.549999999999998,8,52.575376,COMPLETE,3.318013053725523e-05,0.9441252600111207,256,0.8230345693632193,37
61,8.879999999999997,15,96.194063,COMPLETE,1.0484646817336572e-05,0.8217238220421584,256,0.6234798234795605,52
62,7.429999999999998,14,119.81961,COMPLETE,1.6941597712622387e-06,0.8461092910963217,256,0.6967082518059554,58
