number,value,datetime_start,datetime_complete,duration,params_episode_length,params_epsilon_max,params_epsilon_min,params_gamma,params_learning_rate,params_num_episodes,user_attrs_base_seed,user_attrs_collective_reward_mean,user_attrs_collective_reward_std,user_attrs_individual_reward_agent0_mean,user_attrs_individual_reward_agent0_std,user_attrs_num_episodes_mean,user_attrs_num_parallel_runs,user_attrs_run_0_collective_reward,user_attrs_run_0_individual_rewards,user_attrs_run_0_seed,user_attrs_run_0_total_individual_rewards,user_attrs_run_0_training_time_per_episode,user_attrs_run_0_training_time_total,user_attrs_run_1_collective_reward,user_attrs_run_1_individual_rewards,user_attrs_run_1_seed,user_attrs_run_1_total_individual_rewards,user_attrs_run_1_training_time_per_episode,user_attrs_run_1_training_time_total,user_attrs_run_2_collective_reward,user_attrs_run_2_individual_rewards,user_attrs_run_2_seed,user_attrs_run_2_total_individual_rewards,user_attrs_run_2_training_time_per_episode,user_attrs_run_2_training_time_total,user_attrs_run_3_collective_reward,user_attrs_run_3_individual_rewards,user_attrs_run_3_seed,user_attrs_run_3_total_individual_rewards,user_attrs_run_3_training_time_per_episode,user_attrs_run_3_training_time_total,user_attrs_solution_concept,user_attrs_total_individual_reward_agent0_mean,user_attrs_total_individual_reward_agent0_std,user_attrs_training_time_per_episode_mean,user_attrs_training_time_per_episode_std,user_attrs_training_time_total_mean,user_attrs_training_time_total_std,state
313,3.7474999999999974,2025-06-12 22:40:47.274713,2025-06-12 22:40:54.315866,0 days 00:00:07.041153,47,0.9838746168731338,0.10271553783741505,0.9828066331807662,0.0002069394196662272,345,3130847,3.7474999999999974,0.9327747584492191,0.5887499999999999,0.06370390490385976,340.0,4,4.989999999999997,"[0.5559999999999999, -0.05700000000000016]",3130847,"[5.56, -0.5700000000000016]",0.01964351920520558,6.6787965297698975,3.839999999999998,"[0.6990000000000001, -0.3150000000000002]",3131847,"[6.99, -3.150000000000002]",0.019506130498998304,6.632084369659424,2.359999999999998,"[0.5509999999999999, -0.3150000000000003]",3132847,"[5.51, -3.150000000000003]",0.020091575734755573,6.8311357498168945,3.7999999999999967,"[0.5489999999999999, -0.16900000000000018]",3133847,"[5.489999999999999, -1.6900000000000017]",0.018007749669692097,6.1226348876953125,WelfareSolutionConcept,5.8875,0.6370390490385973,0.01931224377716289,0.0007836451120692669,6.566162884235382,0.2664393381035509,COMPLETE
314,6.3525,2025-06-12 22:40:54.331751,2025-06-12 22:40:57.147877,0 days 00:00:02.816126,11,0.9658103033986599,0.10747655434948854,0.9274888441760002,0.06665314290323172,364,3140854,6.3525,1.7209209017267468,0.4685,0.24406300416081098,360.0,4,6.64,"[0.336, 0.32799999999999996]",3140854,"[3.3600000000000003, 3.2799999999999994]",0.00729200111495124,2.6251204013824463,7.7,"[0.8700000000000001, -0.09999999999999999]",3141854,"[8.700000000000001, -0.9999999999999999]",0.006707356373469035,2.4146482944488525,7.609999999999999,"[0.442, 0.31899999999999995]",3142854,"[4.42, 3.1899999999999995]",0.007302222649256388,2.6288001537323,3.46,"[0.22599999999999992, 0.12000000000000002]",3143854,"[2.2599999999999993, 1.2000000000000002]",0.0070231325096554225,2.528327703475952,WelfareSolutionConcept,4.6850000000000005,2.4406300416081095,0.007081178161833021,0.00024311469010228354,2.5492241382598877,0.08752128843682207,COMPLETE
315,4.272499999999999,2025-06-12 22:40:57.165153,2025-06-12 22:40:59.779644,0 days 00:00:02.614491,13,0.6080149018417916,0.060034089214760646,0.9678419259327736,0.015129296906696472,260,3150857,4.272499999999999,1.3554035376964304,0.3807499999999999,0.12332553466334535,260.0,4,5.37,"[0.434, 0.10300000000000001]",3150857,"[4.34, 1.03]",0.00900863500741812,2.342245101928711,5.389999999999999,"[0.32699999999999996, 0.21200000000000002]",3151857,"[3.2699999999999996, 2.12]",0.00900437465080848,2.341137409210205,2.0600000000000005,"[0.215, -0.008999999999999984]",3152857,"[2.15, -0.08999999999999983]",0.009288795177753155,2.4150867462158203,4.27,"[0.5469999999999999, -0.11999999999999997]",3153857,"[5.469999999999999, -1.1999999999999997]",0.008669130618755634,2.253973960876465,WelfareSolutionConcept,3.8074999999999997,1.2332553466334533,0.008992733863683848,0.00021952204679339917,2.3381108045578003,0.0570757321662838,COMPLETE
316,5.66,2025-06-12 22:41:01.526372,2025-06-12 22:41:04.964151,0 days 00:00:03.437779,12,0.6784506773859396,0.0924064633256355,0.9781952733185258,0.08255924644046646,400,3160861,5.66,2.6867452428542604,0.43525,0.2022107502087859,400.0,4,7.680000000000001,"[0.441, 0.327]",3160861,"[4.41, 3.27]",0.007655699253082276,3.06227970123291,1.08,"[0.10900000000000001, -0.0009999999999999898]",3161861,"[1.09, -0.009999999999999898]",0.007952632904052735,3.1810531616210938,7.459999999999999,"[0.649, 0.097]",3162861,"[6.49, 0.97]",0.008048076629638672,3.2192306518554688,6.42,"[0.542, 0.1]",3163861,"[5.42, 1.0]",0.007696300745010376,3.0785202980041504,WelfareSolutionConcept,4.3525,2.0221075020878585,0.007838177382946015,0.00016627162140940037,3.1352709531784058,0.06650864856376011,COMPLETE
317,4.902500000000001,2025-06-12 22:41:04.978941,2025-06-12 22:41:07.530975,0 days 00:00:02.552034,10,0.6327198532407567,0.0755293652396621,0.9216576078955048,0.0495110333740672,355,3170865,4.902500000000001,1.8832601386956613,0.44775000000000004,0.13065675451349618,350.0,4,6.71,"[0.445, 0.22600000000000003]",3170865,"[4.45, 2.2600000000000002]",0.006519192968096052,2.281717538833618,2.54,"[0.34400000000000003, -0.08999999999999998]",3171865,"[3.4400000000000004, -0.8999999999999998]",0.006590283938816615,2.3065993785858154,6.790000000000002,"[0.662, 0.017000000000000022]",3172865,"[6.62, 0.1700000000000002]",0.0066800437654767715,2.33801531791687,3.57,"[0.34, 0.017000000000000022]",3173865,"[3.4000000000000004, 0.1700000000000002]",0.006650240761893136,2.3275842666625977,WelfareSolutionConcept,4.477500000000001,1.3065675451349616,0.0066099403585706444,6.156312590198826e-05,2.3134791254997253,0.021547094065695948,COMPLETE
318,5.6975,2025-06-12 22:41:07.545760,2025-06-12 22:41:10.063172,0 days 00:00:02.517412,12,0.9543566127868964,0.046483993247713504,0.9878548957430386,0.03854760308773633,210,3180867,5.6975,2.7893850128657394,0.5197499999999999,0.17887198634777884,210.0,4,6.530000000000001,"[0.6519999999999999, 0.001000000000000012]",3180867,"[6.52, 0.01000000000000012]",0.009932876768566313,2.085904121398926,1.1,"[0.22000000000000003, -0.10999999999999999]",3181867,"[2.2, -1.0999999999999999]",0.010439901124863397,2.1923792362213135,6.53,"[0.546, 0.10700000000000003]",3182867,"[5.460000000000001, 1.0700000000000003]",0.009926868620372955,2.0846424102783203,8.629999999999999,"[0.6609999999999999, 0.20200000000000004]",3183867,"[6.609999999999999, 2.0200000000000005]",0.010988319487798782,2.307547092437744,WelfareSolutionConcept,5.1975,1.7887198634777888,0.010321991500400363,0.00043744371957512424,2.167618215084076,0.09186318111077608,COMPLETE
319,4.51,2025-06-12 22:41:10.083634,2025-06-12 22:41:12.517926,0 days 00:00:02.434292,11,0.9997102157127775,0.06643963645251255,0.9965290540429649,0.057095290192408554,241,3190870,4.51,2.1452389144335418,0.39075,0.1217546200355453,240.0,4,2.3599999999999994,"[0.22699999999999995, 0.009000000000000006]",3190870,"[2.2699999999999996, 0.09000000000000007]",0.008604540427525838,2.065089702606201,6.61,"[0.445, 0.21599999999999991]",3191870,"[4.45, 2.1599999999999993]",0.009307926893234253,2.2339024543762207,6.7,"[0.554, 0.11599999999999996]",3192870,"[5.540000000000001, 1.1599999999999997]",0.008261521657307943,1.9827651977539062,2.37,"[0.33699999999999997, -0.09999999999999999]",3193870,"[3.3699999999999997, -0.9999999999999999]",0.009062638878822327,2.1750333309173584,WelfareSolutionConcept,3.9075,1.2175462003554531,0.008809156964222591,0.0004045976024350368,2.1141976714134216,0.09710342458440885,COMPLETE
320,5.0675,2025-06-12 22:41:12.534171,2025-06-12 22:41:14.989545,0 days 00:00:02.455374,13,0.9701336537447319,0.051026403704985616,0.9728910253767227,0.08558684256880476,273,3200872,5.0675,1.6020982335674676,0.46175,0.04750986739615252,270.0,4,3.15,"[0.43500000000000005, -0.11999999999999997]",3200872,"[4.3500000000000005, -1.1999999999999997]",0.008414798312717013,2.2719955444335938,7.489999999999999,"[0.5439999999999999, 0.20500000000000002]",3201872,"[5.4399999999999995, 2.0500000000000003]",0.007834588156806098,2.1153388023376465,5.36,"[0.43200000000000005, 0.10400000000000006]",3202872,"[4.32, 1.0400000000000007]",0.007549184340017813,2.0382797718048096,4.27,"[0.43599999999999994, -0.008999999999999994]",3203872,"[4.359999999999999, -0.08999999999999994]",0.007979577559011955,2.1544859409332275,WelfareSolutionConcept,4.6175,0.47509867396152533,0.00794453709213822,0.0003125564016656965,2.1450250148773193,0.08439022844973809,COMPLETE
321,5.045,2025-06-12 22:41:16.695407,2025-06-12 22:41:19.536213,0 days 00:00:02.840806,11,0.5986653034048203,0.09870051234216863,0.985653596610135,0.04540921666686944,376,3210876,5.045,2.495691286998454,0.4415,0.20222821267073496,370.0,4,2.3800000000000003,"[0.11999999999999997, 0.11800000000000002]",3210876,"[1.1999999999999997, 1.1800000000000002]",0.007048360721485035,2.607893466949463,8.88,"[0.663, 0.22499999999999995]",3211876,"[6.630000000000001, 2.2499999999999996]",0.0065985666738974085,2.441469669342041,3.36,"[0.43599999999999994, -0.09999999999999999]",3212876,"[4.359999999999999, -0.9999999999999999]",0.00721007811056601,2.667728900909424,5.56,"[0.547, 0.009000000000000006]",3213876,"[5.470000000000001, 0.09000000000000007]",0.007176100241171347,2.6551570892333984,WelfareSolutionConcept,4.415,2.0222821267073496,0.007008276436779951,0.0002441093937893645,2.5930622816085815,0.09032047570206492,COMPLETE
322,5.487500000000001,2025-06-12 22:41:19.551102,2025-06-12 22:41:22.167171,0 days 00:00:02.616069,10,0.5679382105194024,0.056754055560962906,0.9909321660812639,0.033223531681586704,386,3220879,5.487500000000001,1.3564913379745556,0.42125,0.20431761426759076,380.0,4,3.6500000000000004,"[0.12799999999999997, 0.23699999999999996]",3220879,"[1.2799999999999998, 2.3699999999999997]",0.0063833920579207575,2.4256889820098877,4.720000000000001,"[0.344, 0.12800000000000003]",3221879,"[3.4399999999999995, 1.2800000000000002]",0.006131124496459961,2.329827308654785,6.82,"[0.663, 0.019000000000000013]",3222879,"[6.630000000000001, 0.19000000000000014]",0.006274510057348954,2.3843138217926025,6.760000000000001,"[0.55, 0.126]",3223879,"[5.5, 1.26]",0.006333153498800178,2.4065983295440674,WelfareSolutionConcept,4.2125,2.043176142675908,0.0062805450276324625,9.448290702545245e-05,2.3866071105003357,0.03590350466967185,COMPLETE
323,7.985,2025-06-12 22:41:22.188661,2025-06-12 22:41:25.613041,0 days 00:00:03.424380,14,0.9849574255551925,0.07966542985146652,0.9840319568658391,0.06893990910861819,419,3230882,7.985,2.543663696324653,0.6515,0.1761568902995282,410.0,4,7.38,"[0.538, 0.2]",3230882,"[5.380000000000001, 2.0]",0.007429397978433749,3.046053171157837,9.620000000000001,"[0.8770000000000001, 0.08499999999999999]",3231882,"[8.770000000000001, 0.8499999999999999]",0.007585019018591904,3.1098577976226807,4.130000000000001,"[0.43100000000000005, -0.017999999999999985]",3232882,"[4.3100000000000005, -0.17999999999999985]",0.007545029826280547,3.0934622287750244,10.809999999999999,"[0.76, 0.32100000000000006]",3233882,"[7.6, 3.210000000000001]",0.007714929813291968,3.163121223449707,WelfareSolutionConcept,6.515000000000001,1.7615689029952817,0.007568594159149541,0.00010199847326114452,3.1031236052513123,0.04181937403706932,COMPLETE
324,6.875,2025-06-12 22:41:25.627734,2025-06-12 22:41:29.235358,0 days 00:00:03.607624,14,0.7803987424546728,0.08156193303847226,0.9828359680293918,0.0703611607278401,420,3240885,6.875,1.6637983651873205,0.6795000000000001,0.2769679584356284,420.0,4,4.1,"[0.20600000000000004, 0.20400000000000001]",3240885,"[2.0600000000000005, 2.04]",0.008019958223615373,3.368382453918457,7.38,"[0.868, -0.12999999999999995]",3241885,"[8.68, -1.2999999999999994]",0.008150630337851388,3.423264741897583,7.49,"[0.8790000000000001, -0.12999999999999995]",3242885,"[8.790000000000001, -1.2999999999999994]",0.007870368162790934,3.3055546283721924,8.53,"[0.765, 0.08800000000000001]",3243885,"[7.65, 0.8800000000000001]",0.0077189797446841285,3.241971492767334,WelfareSolutionConcept,6.795,2.7696795843562843,0.007939984117235456,0.00016159904219322432,3.3347933292388916,0.06787159772115424,COMPLETE
325,4.192500000000001,2025-06-12 22:41:29.250316,2025-06-12 22:41:33.120410,0 days 00:00:03.870094,15,0.9835361083867992,0.07877566282137413,0.9802542403835637,0.06501472140650048,434,3250889,4.192500000000001,1.8984780088270707,0.33575,0.18779826277151768,430.0,4,2.7700000000000005,"[0.198, 0.079]",3250889,"[1.98, 0.79]",0.008374072784601255,3.60085129737854,2.7600000000000002,"[0.188, 0.08800000000000001]",3251889,"[1.88, 0.8800000000000001]",0.008301952273346657,3.5698394775390625,7.39,"[0.651, 0.08800000000000002]",3252889,"[6.51, 0.8800000000000002]",0.0076529735742613325,3.290778636932373,3.85,"[0.306, 0.079]",3253889,"[3.06, 0.79]",0.008214595151502033,3.532275915145874,WelfareSolutionConcept,3.3575,1.8779826277151768,0.00813589844592782,0.0002844778077220177,3.4984363317489624,0.1223254573204676,COMPLETE
326,3.2475,2025-06-12 22:41:34.664867,2025-06-12 22:41:37.770058,0 days 00:00:03.105191,14,0.9868956237775661,0.08838637688392371,0.9848914413001877,0.08709555881983899,394,3260894,3.2475,1.2223619553961906,0.4025000000000001,0.14521105329829412,390.0,4,2.8800000000000003,"[0.31700000000000006, -0.02899999999999997]",3260894,"[3.170000000000001, -0.2899999999999997]",0.007312133984688001,2.8517322540283203,5.239999999999999,"[0.6540000000000001, -0.12999999999999995]",3261894,"[6.540000000000001, -1.2999999999999994]",0.0073546629685622,2.868318557739258,2.9600000000000004,"[0.318, -0.021999999999999985]",3262894,"[3.18, -0.21999999999999986]",0.00751641407991067,2.931401491165161,1.9100000000000008,"[0.32100000000000006, -0.12999999999999995]",3263894,"[3.210000000000001, -1.2999999999999994]",0.007410992108858549,2.890286922454834,WelfareSolutionConcept,4.025,1.452110532982941,0.007398550785504855,7.655152943343932e-05,2.8854348063468933,0.029855096479041252,COMPLETE
327,6.44,2025-06-12 22:41:37.785168,2025-06-12 22:41:39.921668,0 days 00:00:02.136500,13,0.8337336756336169,0.07552025543668159,0.9869746356273753,0.06995051027615633,254,3270897,6.44,1.7399281594364753,0.51675,0.11832661365897361,250.0,4,4.22,"[0.542, -0.11999999999999997]",3270897,"[5.42, -1.1999999999999997]",0.007520256042480469,1.8800640106201172,7.470000000000001,"[0.5450000000000002, 0.20200000000000004]",3271897,"[5.450000000000001, 2.0200000000000005]",0.007341971397399902,1.8354928493499756,8.68,"[0.6529999999999999, 0.21500000000000002]",3272897,"[6.529999999999999, 2.1500000000000004]",0.007446712493896485,1.861678123474121,5.390000000000001,"[0.32699999999999996, 0.21200000000000002]",3273897,"[3.2699999999999996, 2.12]",0.0067612075805664066,1.6903018951416016,WelfareSolutionConcept,5.1674999999999995,1.1832661365897361,0.007267536878585815,0.00029911566849025217,1.8168842196464539,0.07477891712256304,COMPLETE
328,5.36,2025-06-12 22:41:39.936589,2025-06-12 22:41:42.995979,0 days 00:00:03.059390,13,0.9726647157028631,0.07075556495306577,0.9892676233624086,0.007212641378745986,410,3280899,5.36,2.0779677572089517,0.40625,0.09204448652689629,410.0,4,6.460000000000001,"[0.5459999999999999, 0.10000000000000006]",3280899,"[5.459999999999999, 1.0000000000000007]",0.006844025123410109,2.8060503005981445,7.590000000000001,"[0.43199999999999994, 0.327]",3281899,"[4.319999999999999, 3.27]",0.0066806554794311525,2.7390687465667725,2.0300000000000002,"[0.32300000000000006, -0.11999999999999997]",3282899,"[3.2300000000000004, -1.1999999999999997]",0.006894661740558903,2.8268113136291504,5.359999999999999,"[0.324, 0.21200000000000002]",3283899,"[3.24, 2.12]",0.007022084840914098,2.8790547847747803,WelfareSolutionConcept,4.0625,0.9204448652689627,0.006860356796078566,0.000122364288539474,2.812746286392212,0.05016935830118435,COMPLETE
