number,value,datetime_start,datetime_complete,duration,params_epsilon_min,params_gamma,params_learning_rate,state
28,13.990000000000002,2025-06-10 22:07:01.001894,2025-06-10 22:07:01.652167,0 days 00:00:00.650273,0.11442225884052724,0.9854487361209248,0.0050495889041461,COMPLETE
29,12.770000000000001,2025-06-10 22:07:01.667102,2025-06-10 22:07:02.320761,0 days 00:00:00.653659,0.17700301767316334,0.9880971451356394,0.0028483442402943322,COMPLETE
30,9.52,2025-06-10 22:07:02.337026,2025-06-10 22:07:03.000221,0 days 00:00:00.663195,0.10941507975535632,0.9971527790003835,0.001282030496209166,COMPLETE
31,9.52,2025-06-10 22:07:03.015521,2025-06-10 22:07:03.661608,0 days 00:00:00.646087,0.12073102209799766,0.9828910310154807,0.005110432235690198,COMPLETE
32,10.59,2025-06-10 22:07:03.676698,2025-06-10 22:07:04.337575,0 days 00:00:00.660877,0.14737851648593298,0.9729472211706932,0.005418486311554609,COMPLETE
33,11.76,2025-06-10 22:07:04.353690,2025-06-10 22:07:05.009016,0 days 00:00:00.655326,0.07465034591518536,0.9747381752165224,0.0071676640800211995,COMPLETE
34,8.38,2025-06-10 22:07:05.024777,2025-06-10 22:07:05.684812,0 days 00:00:00.660035,0.12797942779214017,0.9855557310102322,0.0014838752651582846,COMPLETE
35,13.97,2025-06-10 22:07:05.701271,2025-06-10 22:07:06.338828,0 days 00:00:00.637557,0.09449602348992504,0.9985124663932354,0.0034650321834885115,COMPLETE
36,9.51,2025-06-10 22:07:06.354566,2025-06-10 22:07:07.016881,0 days 00:00:00.662315,0.0960765705192724,0.9963087371541517,0.0032670321842942535,COMPLETE
37,10.639999999999999,2025-06-10 22:07:07.032846,2025-06-10 22:07:07.701061,0 days 00:00:00.668215,0.16125276164113148,0.9887157772950107,0.000714733152676897,COMPLETE
38,11.74,2025-06-10 22:07:07.716526,2025-06-10 22:07:08.340672,0 days 00:00:00.624146,0.09987396941477061,0.9923907197542936,0.00843885935369268,COMPLETE
39,9.52,2025-06-10 22:07:08.357005,2025-06-10 22:07:09.029497,0 days 00:00:00.672492,0.1214420672658594,0.9669365287890145,0.002375277171065794,COMPLETE
40,12.859999999999998,2025-06-10 22:07:09.045719,2025-06-10 22:07:09.680868,0 days 00:00:00.635149,0.13988321877932766,0.9852314044250412,0.003858912544605638,COMPLETE
41,14.0,2025-06-10 22:07:09.696170,2025-06-10 22:07:10.324174,0 days 00:00:00.628004,0.04947688750101713,0.9789033594702456,0.007511483972457593,COMPLETE
42,12.780000000000001,2025-06-10 22:07:10.339608,2025-06-10 22:07:10.967051,0 days 00:00:00.627443,0.0792564439541919,0.9769232557453782,0.01514719927695449,COMPLETE
43,12.86,2025-06-10 22:07:10.982286,2025-06-10 22:07:11.624890,0 days 00:00:00.642604,0.04215472085238771,0.9981393884968596,0.009524016186473833,COMPLETE
44,8.38,2025-06-10 22:07:11.643772,2025-06-10 22:07:12.291096,0 days 00:00:00.647324,0.06295012851722896,0.9698951648595511,0.007025027832574984,COMPLETE
45,3.8200000000000007,2025-06-10 22:07:12.306498,2025-06-10 22:07:12.987810,0 days 00:00:00.681312,0.023185727997370616,0.9907301104495931,0.00014697059058325102,COMPLETE
46,11.72,2025-06-10 22:07:13.005252,2025-06-10 22:07:13.650872,0 days 00:00:00.645620,0.05397584426105958,0.9822969359963527,0.026720124080685234,COMPLETE
47,10.56,2025-06-10 22:07:13.667116,2025-06-10 22:07:14.339474,0 days 00:00:00.672358,0.11207654853732493,0.9447105779856699,0.00174893598069813,COMPLETE
48,11.76,2025-06-10 22:07:14.357912,2025-06-10 22:07:15.004074,0 days 00:00:00.646162,0.032060585860192656,0.9733408152632894,0.004382685315584388,COMPLETE
49,14.0,2025-06-10 22:07:15.020536,2025-06-10 22:07:15.654109,0 days 00:00:00.633573,0.0825795159045313,0.9637818325357577,0.01657679352546833,COMPLETE
